time,transit light curve,,
-0.0388,1,,1 - min
-0.0387,1,,0.0056
-0.0386,1,,
-0.0385,1,,
-0.0385,1,,
-0.0384,1,,
-0.0383,1,,
-0.0382,1,,
-0.0381,1,,
-0.038,1,,
-0.038,1,,
-0.0379,1,,
-0.0378,1,,
-0.0377,1,,
-0.0376,1,,
-0.0376,1,,
-0.0375,1,,
-0.0374,1,,
-0.0373,1,,
-0.0372,1,,
-0.0371,1,,
-0.0371,1,,
-0.037,1,,
-0.0369,1,,
-0.0368,1,,
-0.0367,1,,
-0.0367,1,,
-0.0366,1,,
-0.0365,1,,
-0.0364,1,,
-0.0363,1,,
-0.0362,1,,
-0.0362,1,,
-0.0361,1,,
-0.036,1,,
-0.0359,1,,
-0.0358,1,,
-0.0358,1,,
-0.0357,1,,
-0.0356,1,,
-0.0355,1,,
-0.0354,1,,
-0.0354,1,,
-0.0352,1,,
-0.0352,1,,
-0.0351,1,,
-0.035,1,,
-0.0349,1,,
-0.0349,1,,
-0.0348,1,,
-0.0347,1,,
-0.0346,1,,
-0.0345,1,,
-0.0345,1,,
-0.0344,1,,
-0.0343,1,,
-0.0342,1,,
-0.0341,1,,
-0.034,1,,
-0.034,1,,
-0.0339,1,,
-0.0338,1,,
-0.0337,1,,
-0.0336,1,,
-0.0336,1,,
-0.0335,1,,
-0.0334,1,,
-0.0333,1,,
-0.0332,1,,
-0.0331,1,,
-0.0331,1,,
-0.033,1,,
-0.0329,1,,
-0.0328,1,,
-0.0327,1,,
-0.0327,1,,
-0.0326,1,,
-0.0325,1,,
-0.0324,1,,
-0.0323,1,,
-0.0323,1,,
-0.0322,1,,
-0.0321,1,,
-0.032,1,,
-0.0319,1,,
-0.0318,1,,
-0.0318,1,,
-0.0317,1,,
-0.0316,1,,
-0.0315,1,,
-0.0314,1,,
-0.0314,1,,
-0.0313,1,,
-0.0312,1,,
-0.0311,1,,
-0.031,1,,
-0.0309,1,,
-0.0309,1,,
-0.0308,1,,
-0.0307,1,,
-0.0306,1,,
-0.0305,1,,
-0.0305,1,,
-0.0304,1,,
-0.0303,1,,
-0.0302,1,,
-0.0301,1,,
-0.0301,1,,
-0.03,1,,
-0.0299,1,,
-0.0298,1,,
-0.0297,1,,
-0.0296,1,,
-0.0296,1,,
-0.0295,1,,
-0.0294,1,,
-0.0293,1,,
